created_at,twitter_id,screen_name,followers_count,friends_count,favorite_count/like_count,retweet_count,hashtags,mentions,in_reply_to_screen_name,twitter_url,text,is_retweet,is_quote,coordinates,url1,url1_expanded,url2,url2_expanded,media_url
2016-09-27 00:55:44+00:00,780571592841633798,TerryMcCracken,6928,5843,0,0,"PresidentialCampaign, debatenight",SouthPark,,http://twitter.com/TerryMcCracken/status/780571592841633798,RT @SouthPark: Clinton gets interrupted during her last #PresidentialCampaign. Don't miss an all-new ep Wed @ 10/9c. #debatenight #Debates2…,Yes,No,,,,,,
2016-09-27 00:57:37+00:00,780572067552821250,MarthaZoller,4312,3698,0,0,debatenight,Circa,,http://twitter.com/MarthaZoller/status/780572067552821250,RT @Circa: Bill Clinton and Melania Trump shake hands before the debate #debatenight https://t.co/gLfPOkn1bo,Yes,No,,,,,,http://pbs.twimg.com/tweet_video_thumb/CtUl_qMXEAA2BBm.jpg
2016-09-27 00:57:59+00:00,780572159064338432,ShalimarHarper,303,500,0,0,Debates2016,AliCologne,,http://twitter.com/ShalimarHarper/status/780572159064338432,RT @AliCologne: Gleich den Irren gegen die Lügnerin anschauen.  #Debates2016,Yes,No,,,,,,
2016-09-27 01:00:05+00:00,780572687248691200,mayaelhajmoussa,154,184,0,0,debatenight,CrystalmReed,,http://twitter.com/mayaelhajmoussa/status/780572687248691200,RT @CrystalmReed: I sure am sorry Mr. Trump but my pups don't much like you. #debatenight https://t.co/ABuyzWB98c,Yes,No,,,,,,http://pbs.twimg.com/media/CtUmQk0UMAAQx5O.jpg
2016-09-27 01:00:24+00:00,780572768077250560,wachfox,32688,4293,0,0,debate,"TaraPetitt, HillaryClinton, wachfox",,http://twitter.com/wachfox/status/780572768077250560,RT @TaraPetitt: Dozens of people at @HillaryClinton Headquarters to watch #debate @wachfox https://t.co/2Qdz1bxB9H,Yes,No,,,,,,http://pbs.twimg.com/media/CtUmvlQWEAA1Cig.jpg
2016-09-27 01:01:36+00:00,780573069102514176,ellek62,670,1205,0,0,debate,,,http://twitter.com/ellek62/status/780573069102514176,Yipeeeeee! #debate,No,No,,,,,,
2016-09-27 01:03:07+00:00,780573450322620416,mwitticg,315,170,0,0,"debates, Trump",ProgtopiaBooks,,http://twitter.com/mwitticg/status/780573450322620416,RT @ProgtopiaBooks: #debates Globalization versus Nationalism. #Trump,Yes,No,,,,,,
2016-09-27 01:05:06+00:00,780573950048894976,Brklynchica,1382,1361,0,0,debatenight,,,http://twitter.com/Brklynchica/status/780573950048894976,Oh God here we go #debatenight,No,No,,,,,,
2016-09-27 01:06:09+00:00,780574214088601600,UTHornsRawk,18277,4540,0,0,"Hillary, debatenight, Debates2016, Debates",,,http://twitter.com/UTHornsRawk/status/780574214088601600,Wow  #Hillary is walking funny #debatenight. she has stuff like a sausage in that red suit  HO HO HO  #Debates2016 #Debates Presidential,No,No,,,,,,
2016-09-27 01:06:20+00:00,780574259882053632,chellie_bean,251,624,0,0,Debates2016,pattonoswalt,,http://twitter.com/chellie_bean/status/780574259882053632,RT @pattonoswalt: SHE'S WEARING HIS POWER TIE. TOTAL MIND-FUCK MOVE.   NICE.  #Debates2016,Yes,No,,,,,,
2016-09-27 01:06:28+00:00,780574293889540096,Sterling_Arts,148,442,0,0,debatenight,,,http://twitter.com/Sterling_Arts/status/780574293889540096,Still holding out that Trump is still punking us all. #debatenight,No,No,,,,,,
2016-09-27 01:08:19+00:00,780574758387585024,DANEgerus,5836,3573,0,0,"Debates, Debates2016, DebatesNight, Hillary",,,http://twitter.com/DANEgerus/status/780574758387585024,#Debates #Debates2016 #DebatesNight #Hillary https://t.co/W2L4DcXFFe,No,No,,,,,,http://pbs.twimg.com/media/CtUomXzUsAQG8Dd.jpg
2016-09-27 01:08:20+00:00,780574762317729793,iSPiTMYTHOUGHTS,747,1013,0,0,,realDonaldTrump,realDonaldTrump,http://twitter.com/iSPiTMYTHOUGHTS/status/780574762317729793,@realDonaldTrump looks like a dumb ass!,No,No,,,,,,
2016-09-27 01:10:04+00:00,780575200001654785,wonderlandrevel,920,2848,0,0,debate,"edhelms, LesterHoltNBC, HofstraU",,http://twitter.com/wonderlandrevel/status/780575200001654785,RT @edhelms: Ahhhh!!!! Who's gonna win?!?!? My money's on @LesterHoltNBC! or maybe @HofstraU? #debate,Yes,No,,,,,,
2016-09-27 01:12:41+00:00,780575855923691520,ChloThePrincess,1599,979,0,0,,HillaryClinton,HillaryClinton,http://twitter.com/ChloThePrincess/status/780575855923691520,@HillaryClinton is straight frying Trump rn on this debate 😂😭🤔,No,No,,,,,,
2016-09-27 01:12:41+00:00,780575857471524864,amnaturelle,230,225,0,0,"debatenight, ImWithHer",,,http://twitter.com/amnaturelle/status/780575857471524864,"'Trumped up trickle down...' Ya, she went there #debatenight #ImWithHer",No,No,,,,,,
2016-09-27 01:12:43+00:00,780575865004580865,WillBenton1,375,536,0,0,"UAS4H, HofDebate16",HillaryClinton,HillaryClinton,http://twitter.com/WillBenton1/status/780575865004580865,@HillaryClinton I liked the vision you presented about creating new clean energy and high tech jobs! #UAS4H #HofDebate16,No,No,,,,,,
2016-09-27 01:13:36+00:00,780576089081049092,BranG1992,1601,2045,0,0,debatenight,SFNS_News,,http://twitter.com/BranG1992/status/780576089081049092,China #debatenight @SFNS_News,No,No,,,,,,
2016-09-27 01:14:40+00:00,780576357449359360,zhacklan,68,762,0,0,debates,GovGaryJohnson,,http://twitter.com/zhacklan/status/780576357449359360,"RT @GovGaryJohnson: Ideally, taxes will go down #debates",Yes,No,,,,,,
2016-09-27 01:15:05+00:00,780576461925195776,AFGlamLife,2256,2591,0,0,debatenight,fieldnegro,,http://twitter.com/AFGlamLife/status/780576461925195776,RT @fieldnegro: What has Donald be snorting? #debatenight,Yes,No,,,,,,
2016-09-27 01:15:24+00:00,780576541986136065,ImGayNotStupid,7322,6542,0,0,debatenight,,,http://twitter.com/ImGayNotStupid/status/780576541986136065,Lol. The gloves are coming off early.  #debatenight,No,No,,,,,,
2016-09-27 01:16:07+00:00,780576723448594432,EaglsNationZoom,352,850,0,0,,HillaryClinton,HillaryClinton,http://twitter.com/EaglsNationZoom/status/780576723448594432,@HillaryClinton You're such a fucking liar,No,No,,,,,,
2016-09-27 01:16:13+00:00,780576747540606977,kylexpowis,1905,971,0,0,debatenight,,,http://twitter.com/kylexpowis/status/780576747540606977,#debatenight ... lol,No,No,,,,,,
2016-09-27 01:17:03+00:00,780576957109006337,rangelpreisler,1101,1019,0,0,debates,HuffingtonPost,,http://twitter.com/rangelpreisler/status/780576957109006337,"RT @HuffingtonPost: Clinton: ""Donald was one of the people who rooted for the housing crisis."" #debates",Yes,No,,,,,,
2016-09-27 01:17:49+00:00,780577149916819456,JRiotmaker,823,1339,0,0,"DebateNight, CrookedHillary",PrisonPlanet,,http://twitter.com/JRiotmaker/status/780577149916819456,RT @PrisonPlanet: #DebateNight: Watch LIVE video feeds as we call out #CrookedHillary on her lies in real time! (Exclusive video at: https:…,Yes,No,,,,,,
2016-09-27 01:18:08+00:00,780577229835296769,IzzyAndros,71,420,0,0,debatenight,ClotureClub,,http://twitter.com/IzzyAndros/status/780577229835296769,"RT @ClotureClub: For those late to the game, here's the #debatenight drinking game! https://t.co/h6hCCrJXUH",Yes,No,,,,,,http://pbs.twimg.com/media/CtUqt0pWgAAxlNs.jpg
2016-09-27 01:19:31+00:00,780577577832370177,AFabU,157,294,0,0,,"realDonaldTrump, HillaryClinton",,http://twitter.com/AFabU/status/780577577832370177,RT @realDonaldTrump: .@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years,Yes,No,,,,,,
2016-09-27 01:19:40+00:00,780577615811862528,1Mrs_Anthony,177,180,0,0,Debates2016,,,http://twitter.com/1Mrs_Anthony/status/780577615811862528,"""You can't do what you're trying to do with 20 trillion in debt!"" Donald Trump YESSSSSSS!!! #Debates2016",No,No,,,,,,
2016-09-27 01:19:58+00:00,780577691389100033,senseiandrea,112,23,0,0,debatenight,Joannahausmann,,http://twitter.com/senseiandrea/status/780577691389100033,"RT @Joannahausmann: Awkward moment when you say ""that's business"" when your opponent is talking about people losing their homes #debatenight",Yes,No,,,,,,
2016-09-27 01:21:48+00:00,780578153752387585,Nirvana_dreamss,19,134,0,0,,realDonaldTrump,realDonaldTrump,http://twitter.com/Nirvana_dreamss/status/780578153752387585,"@realDonaldTrump only mentions the states that support him, make America great again? Or make the states that like me okay ?",No,No,,,,,,
2016-09-27 01:22:13+00:00,780578256890241024,Vinishrek,372,1000,0,0,,realDonaldTrump,,http://twitter.com/Vinishrek/status/780578256890241024,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,Yes,No,,,,,,
2016-09-27 01:22:51+00:00,780578416558878720,danielstroud,889,856,0,0,,factcheckdotorg,,http://twitter.com/danielstroud/status/780578416558878720,RT @factcheckdotorg: Trump says Bill Clinton signed NAFTA. Bush41 signed it; Clinton signed implementing legislation. https://t.co/vUfQGX7C…,Yes,No,,,,,,
2016-09-27 01:23:02+00:00,780578461836517377,BStil642,6,79,0,0,Hillaryshairlooksgreat,HillaryClinton,HillaryClinton,http://twitter.com/BStil642/status/780578461836517377,"@HillaryClinton  ""I know you live in your own reality"" PS #Hillaryshairlooksgreat",No,No,,,,,,
2016-09-27 01:23:10+00:00,780578496649293824,Trelexus,25,53,0,0,,"HillaryClinton, TheBriefing2016",,http://twitter.com/Trelexus/status/780578496649293824,RT @HillaryClinton: Trump told 31 outright lies just last week.  Keep him honest at tonight's debate: Follow @TheBriefing2016 to get the fa…,Yes,No,,,,,,
2016-09-27 01:23:44+00:00,780578638680862720,RogerHatridge,182,160,0,0,Debates2016,,,http://twitter.com/RogerHatridge/status/780578638680862720,Why does Trump make the OK sign with his hands so much? #Debates2016 https://t.co/pVqHbvoAQZ,No,Yes,,https://t.co/pVqHbvoAQZ,https://twitter.com/pattonoswalt/status/780578116523532288,,,
2016-09-27 01:23:52+00:00,780578670574469120,ChicagoChazaro,9,127,0,0,,realDonaldTrump,realDonaldTrump,http://twitter.com/ChicagoChazaro/status/780578670574469120,@realDonaldTrump bankruptcy,No,No,,,,,,
